[2026-01-20T14:15:36.978+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-20T14:15:37.197+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-20T14:15:37.364+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-20T14:15:37.559+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-20T14:15:37.781+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-20T14:15:37.964+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-20T14:15:38.266+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-20T14:15:38.651+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-20T14:15:38.828+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-20T14:15:39.035+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-20T14:15:39.245+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-20T14:15:39.417+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-20T14:15:39.597+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-20T14:15:39.778+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-20T14:15:39.951+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-20T14:15:40.128+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-20T14:15:40.333+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-20T14:15:40.572+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-20T14:15:40.795+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-20T14:15:40.993+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-20T14:15:41.185+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-20T14:15:41.361+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-20T14:15:41.524+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-20T14:15:41.900+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-20T14:15:42.045+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-20T14:15:42.243+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-20T14:15:42.404+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-20T14:15:42.568+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-20T14:15:42.723+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-20T14:15:42.928+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-20T14:15:43.121+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-20T14:15:43.302+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-20T14:15:43.494+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-20T14:15:43.665+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-20T14:15:43.859+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-20T14:15:44.129+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-20T14:15:44.278+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-20T14:15:44.445+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-20T14:15:44.615+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-20T14:15:44.868+0000] {logging_mixin.py:188} INFO - taker_ratio : you dont have any null values
[2026-01-20T14:15:45.697+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-01-20T14:15:45.710+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=ETL, task_id=transform_data, execution_date=20260120T141501, start_date=20260120T141518, end_date=20260120T141545
[2026-01-20T14:15:45.769+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-01-20T14:15:45.794+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
