[2026-01-21T12:00:33.446+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T12:00:33.587+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T12:00:33.708+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T12:00:33.837+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T12:00:33.980+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T12:00:34.082+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T12:00:34.265+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T12:00:34.535+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T12:00:34.652+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T12:00:34.768+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T12:00:34.890+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T12:00:34.997+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T12:00:35.092+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T12:00:35.192+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T12:00:35.293+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T12:00:35.386+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T12:00:35.498+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T12:00:35.620+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T12:00:35.709+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T12:00:35.811+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T12:00:35.913+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T12:00:36.033+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T12:00:36.152+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T12:00:36.352+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T12:00:36.472+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T12:00:36.586+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
