[2026-01-21T11:37:24.995+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:37:25.134+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:37:25.253+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:37:25.386+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T11:37:25.511+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T11:37:25.637+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T11:37:25.850+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T11:37:26.119+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:37:26.239+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:37:26.357+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:37:26.510+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:37:26.635+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:37:26.746+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:37:26.868+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:37:26.990+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:37:27.103+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:37:27.220+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:37:27.336+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:37:27.449+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T11:37:27.609+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T11:37:27.717+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T11:37:27.839+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T11:37:27.963+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T11:37:28.180+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:37:28.288+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:37:28.393+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:37:28.507+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:37:28.621+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:37:28.738+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:37:28.860+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:37:28.993+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:37:29.101+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:37:29.207+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:37:29.324+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:37:29.429+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T11:37:29.547+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T11:37:29.663+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T11:37:29.772+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T11:37:29.890+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T11:37:30.069+0000] {logging_mixin.py:188} INFO - taker_ratio : you dont have any null values
[2026-01-21T11:37:30.717+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-01-21T11:37:30.735+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=ETL, task_id=transform_data, execution_date=20260121T113651, start_date=20260121T113708, end_date=20260121T113730
[2026-01-21T11:37:30.798+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-01-21T11:37:30.828+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
