[2026-01-21T10:16:51.113+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:16:51.277+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:16:51.462+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:16:51.633+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T10:16:51.800+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T10:16:52.010+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T10:16:52.312+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T10:16:52.648+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:16:52.812+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:16:52.984+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:16:53.144+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:16:53.314+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:16:53.497+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:16:53.658+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:16:53.842+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:16:53.992+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:16:54.164+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:16:54.323+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:16:54.480+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T10:16:54.612+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T10:16:54.768+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T10:16:54.953+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T10:16:55.152+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T10:16:55.469+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:16:55.621+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:16:55.789+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:16:55.954+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:16:56.101+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:16:56.240+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:16:56.434+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:16:56.586+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:16:56.739+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:16:56.873+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:16:57.015+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:16:57.161+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T10:16:57.309+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T10:16:57.453+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T10:16:57.601+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T10:16:57.743+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T10:16:57.969+0000] {logging_mixin.py:188} INFO - taker_ratio : you dont have any null values
[2026-01-21T10:16:58.831+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-01-21T10:16:58.847+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=ETL, task_id=transform_data, execution_date=20260121T101611, start_date=20260121T101631, end_date=20260121T101658
[2026-01-21T10:16:58.904+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-01-21T10:16:58.939+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
