[2026-01-21T00:00:32.780+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T00:00:32.950+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T00:00:33.114+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T00:00:33.242+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T00:00:33.367+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T00:00:33.498+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T00:00:33.718+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T00:00:34.029+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T00:00:34.160+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T00:00:34.292+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T00:00:34.402+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T00:00:34.528+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T00:00:34.682+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T00:00:34.830+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T00:00:34.969+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T00:00:35.107+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T00:00:35.232+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T00:00:35.357+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T00:00:35.476+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T00:00:35.580+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T00:00:35.678+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T00:00:35.800+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T00:00:35.973+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T00:00:36.219+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
