[2026-01-21T10:45:31.312+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:45:31.448+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:45:31.590+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:45:31.724+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T10:45:31.864+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T10:45:31.982+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T10:45:32.183+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T10:45:32.432+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:45:32.567+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:45:32.700+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:45:32.845+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:45:32.964+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:45:33.129+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:45:33.260+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:45:33.382+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:45:33.496+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:45:33.607+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:45:33.715+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:45:33.809+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T10:45:33.926+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T10:45:34.036+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T10:45:34.154+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T10:45:34.263+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T10:45:34.484+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T10:45:34.582+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T10:45:34.688+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T10:45:34.813+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T10:45:34.914+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T10:45:35.046+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T10:45:35.151+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T10:45:35.265+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T10:45:35.387+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T10:45:35.490+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T10:45:35.571+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T10:45:35.682+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T10:45:35.781+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T10:45:35.899+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T10:45:36.028+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T10:45:36.150+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T10:45:36.305+0000] {logging_mixin.py:188} INFO - taker_ratio : you dont have any null values
[2026-01-21T10:45:36.929+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-01-21T10:45:36.946+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=ETL, task_id=transform_data, execution_date=20260121T103000, start_date=20260121T104515, end_date=20260121T104536
[2026-01-21T10:45:36.997+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-01-21T10:45:37.022+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
