[2026-01-21T11:15:30.789+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:15:30.943+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:15:31.082+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:15:31.267+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T11:15:31.388+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T11:15:31.514+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T11:15:31.733+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T11:15:31.990+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:15:32.106+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:15:32.213+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:15:32.330+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:15:32.439+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:15:32.544+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:15:32.653+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:15:32.757+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:15:32.862+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:15:32.968+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:15:33.078+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:15:33.183+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T11:15:33.283+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T11:15:33.388+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T11:15:33.492+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T11:15:33.597+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T11:15:33.797+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T11:15:33.906+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T11:15:34.012+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T11:15:34.112+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T11:15:34.228+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T11:15:34.340+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T11:15:34.454+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T11:15:34.553+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T11:15:34.659+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T11:15:34.764+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T11:15:34.858+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T11:15:34.963+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T11:15:35.057+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T11:15:35.141+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T11:15:35.256+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T11:15:35.365+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T11:15:35.493+0000] {logging_mixin.py:188} INFO - taker_ratio : you dont have any null values
[2026-01-21T11:15:36.152+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-01-21T11:15:36.170+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=ETL, task_id=transform_data, execution_date=20260121T110000, start_date=20260121T111514, end_date=20260121T111536
[2026-01-21T11:15:36.209+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-01-21T11:15:36.227+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
