[2026-01-21T14:30:32.587+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T14:30:32.708+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T14:30:32.840+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T14:30:33.033+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T14:30:33.158+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T14:30:33.271+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T14:30:33.516+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T14:30:33.793+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T14:30:33.917+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T14:30:34.100+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T14:30:34.258+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T14:30:34.376+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T14:30:34.505+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T14:30:34.654+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T14:30:34.792+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T14:30:34.968+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T14:30:35.103+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T14:30:35.208+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T14:30:35.301+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T14:30:35.407+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T14:30:35.502+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T14:30:35.616+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T14:30:35.738+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T14:30:36.044+0000] {logging_mixin.py:188} INFO - open_time : you dont have any null values
[2026-01-21T14:30:36.160+0000] {logging_mixin.py:188} INFO - open : you dont have any null values
[2026-01-21T14:30:36.276+0000] {logging_mixin.py:188} INFO - high : you dont have any null values
[2026-01-21T14:30:36.401+0000] {logging_mixin.py:188} INFO - low : you dont have any null values
[2026-01-21T14:30:36.497+0000] {logging_mixin.py:188} INFO - close : you dont have any null values
[2026-01-21T14:30:36.614+0000] {logging_mixin.py:188} INFO - volume : you dont have any null values
[2026-01-21T14:30:36.734+0000] {logging_mixin.py:188} INFO - close_time : you dont have any null values
[2026-01-21T14:30:36.838+0000] {logging_mixin.py:188} INFO - quote_asset_volume : you dont have any null values
[2026-01-21T14:30:36.949+0000] {logging_mixin.py:188} INFO - number_of_trades : you dont have any null values
[2026-01-21T14:30:37.091+0000] {logging_mixin.py:188} INFO - taker_buy_base_volume : you dont have any null values
[2026-01-21T14:30:37.206+0000] {logging_mixin.py:188} INFO - taker_buy_quote_volume : you dont have any null values
[2026-01-21T14:30:37.326+0000] {logging_mixin.py:188} INFO - close_t_plus_10 : you dont have any null values
[2026-01-21T14:30:37.428+0000] {logging_mixin.py:188} INFO - prev_close : you dont have any null values
[2026-01-21T14:30:37.553+0000] {logging_mixin.py:188} INFO - return : you dont have any null values
[2026-01-21T14:30:37.672+0000] {logging_mixin.py:188} INFO - MA_5 : you dont have any null values
[2026-01-21T14:30:37.805+0000] {logging_mixin.py:188} INFO - MA_10 : you dont have any null values
[2026-01-21T14:30:37.943+0000] {logging_mixin.py:188} INFO - taker_ratio : you dont have any null values
[2026-01-21T14:30:38.692+0000] {python.py:201} INFO - Done. Returned value was: None
[2026-01-21T14:30:38.705+0000] {taskinstance.py:1138} INFO - Marking task as SUCCESS. dag_id=ETL, task_id=transform_data, execution_date=20260121T141500, start_date=20260121T143016, end_date=20260121T143038
[2026-01-21T14:30:38.754+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2026-01-21T14:30:38.779+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
